Run on Darwin 24.6.0
CPU: Apple M2 Max
Cores: 12
Memory: 32.00 GB

| name                       | met (ms)             | iters | DataMovement (GB/s)  | min (ms) | mean (ms)            | max (ms) | duration (ms) |
| -------------------------- | -------------------- | ----- | -------------------- | -------- | -------------------- | -------- | ------------- |
| csvtab_full_scan           | 2.69009              | 100   | 0.007305703526647807 | 2.69009  | 2.69009              | 2.69009  | 269.009       |
| csvtab_count               | 1.3175800000000002   | 100   | 0.014915982331243645 | 1.31758  | 1.3175800000000002   | 1.31758  | 131.758       |
| csvtab_filter              | 2.02522              | 100   | 0.009704130909234552 | 2.02522  | 2.02522              | 2.02522  | 202.522       |
| csvtab_connect             | 0.03138              | 100   | 0.6262906309751434   | 0.03138  | 0.03138              | 0.03138  | 3.138         |
| connect_overhead           | 0.01692              | 100   | N/A                  | 0.01692  | 0.01692              | 0.01692  | 1.692         |
| execute_single_insert      | 0.0038               | 100   | N/A                  | 0.0038   | 0.0038               | 0.0038   | 0.38          |
| execute_batch              | 0.3261               | 100   | N/A                  | 0.3261   | 0.3261               | 0.3261   | 32.61         |
| statement_prepare          | 0.00197              | 100   | N/A                  | 0.00197  | 0.00197              | 0.00197  | 0.197         |
| statement_bind_positional  | 0.00294              | 100   | N/A                  | 0.00294  | 0.00294              | 0.00294  | 0.294         |
| statement_bind_named       | 0.00387              | 100   | N/A                  | 0.00387  | 0.00387              | 0.00387  | 0.387         |
| statement_reset_and_rebind | 0.04331              | 100   | N/A                  | 0.04331  | 0.04331              | 0.04331  | 4.331         |
| query_raw_rows             | 0.44423999999999997  | 100   | N/A                  | 0.44424  | 0.44423999999999997  | 0.44424  | 44.424        |
| query_mapped               | 0.44279              | 100   | N/A                  | 0.44279  | 0.44279              | 0.44279  | 44.279        |
| query_typed_reflection     | 0.48100000000000004  | 100   | N/A                  | 0.481    | 0.48100000000000004  | 0.481    | 48.1          |
| query_one_row              | 0.00569              | 100   | N/A                  | 0.00569  | 0.00569              | 0.00569  | 0.569         |
| transaction_commit         | 0.09826              | 100   | N/A                  | 0.09826  | 0.09826              | 0.09826  | 9.826         |
| transaction_rollback       | 0.09962              | 100   | N/A                  | 0.09962  | 0.09962              | 0.09962  | 9.962         |
| savepoint_nested           | 0.005829999999999999 | 100   | N/A                  | 0.00583  | 0.005829999999999999 | 0.00583  | 0.583         |
| udf_registration           | 0.01667              | 100   | N/A                  | 0.01667  | 0.01667              | 0.01667  | 1.667         |
| scalar_udf                 | 0.14628              | 100   | N/A                  | 0.14628  | 0.14628              | 0.14628  | 14.628        |
| aggregate_udf              | 0.08723              | 100   | N/A                  | 0.08723  | 0.08723              | 0.08723  | 8.723         |
| window_udf                 | 0.36249000000000003  | 100   | N/A                  | 0.36249  | 0.36249000000000003  | 0.36249  | 36.249        |

